,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300466,赛摩电气,0.16,,,4.02,0.06,961.82,,,08-29
1,002728,特一药业,0.63,,,13.04,,4730.24,,,08-28
2,603838,四通股份,0.25,,,7.46,,2530.91,,,08-28
3,603199,九华旅游,0.42,,,7.13,,3493.18,,,08-28
4,603997,继峰股份,0.27,,,14.13,,9841.52,,,08-28
5,603311,金海环境,0.19,,,11.48,,3056.19,,,08-28
6,300467,迅游科技,1.02,,,30.68,0.83,3057.15,,,08-28
7,603066,音飞储存,0.25,,,5.42,,1873.86,,,08-28
8,002770,科迪乳业,0.22,,,8.28,,4502.46,,,08-28
9,002772,众兴菌业,0.31,,,8.18,,3475.26,,,08-28
10,002749,国光股份,1.75,,,29.34,,10522.84,,,08-27
11,002746,仙坛股份,0.11,,,1.72,,1317.33,,,08-27
12,300481,濮阳惠成,0.44,,,12.2,0.22,2618.19,,,08-27
13,002748,世龙实业,0.64,,,11.3,,5781.03,,,08-27
14,002773,康弘药业,0.22,,,6.14,,8630.4,,,08-27
15,300485,赛升药业,1.11,,,18.36,0.96,9949.08,,,08-27
16,300456,耐威科技,0.24,,,6.86,-0.19,1535.09,,,08-26
17,603599,广信股份,0.6,,,6.68,,8517.73,,,08-26
18,002762,金发拉比,0.77,,,12.15,,3931.97,,,08-26
19,300465,高伟达,0.17,,,5.61,-1.36,1671.37,,,08-26
20,603015,弘讯科技,0.37,,,10.48,,5476.34,,,08-26
21,603021,山东华鹏,0.37,,,6.33,,2953.1,,,08-26
22,002761,多喜爱,0.18,,,4.41,,1642.57,,,08-26
23,002745,木林森,0.63,,,21.61,,25070.83,,,08-26
24,002755,东方新星,0.2,,,4.9,,1516.35,,,08-26
25,300461,田中精机,0.25,,,13.83,0.61,1252.44,,,08-26
26,300437,清水源,0.35,,,8.13,0.63,1741.91,,,08-26
27,300452,山河药辅,0.57,,,12.63,0.52,1979.69,,,08-26
28,603300,华铁科技,0.26,,,7.05,,3929.62,,,08-26
29,603589,口子窖,0.32,,,8.56,,17243.63,,,08-26
30,603020,爱普股份,0.73,,,11.14,,8770.49,,,08-26
31,300447,全信股份,0.45,,,10.19,0.3,2722.17,,,08-26
32,603355,莱克电气,0.49,,,14.12,,17704.44,,,08-26
33,002743,富煌钢构,0.23,,,4.07,,2107.04,,,08-26
34,300448,浩云科技,0.12,,,3.61,-1.1,705.1,,,08-26
35,603227,雪峰科技,0.1,,,3.12,,2519.72,,,08-26
36,300486,东杰智能,0.27,,,8.18,-0.51,2804.53,,,08-26
37,300419,浩丰科技,0.79,,,11.89,-0.24,2443.18,,,08-26
38,002752,昇兴股份,0.1,,,4.19,,3628.23,,,08-26
39,002763,汇洁股份,0.59,,,14.35,,9516.46,,,08-26
40,300442,普丽盛,0.55,,,9.62,0.01,4125.16,,,08-25
41,002776,柏堡龙,0.7,,,17.01,,5531.51,,,08-25
42,300462,华铭智能,0.56,,,12.68,0.65,2912.66,,,08-25
43,300482,万孚生物,0.78,,,20.25,0.71,5142.05,,,08-25
44,300451,创业软件,0.14,,,2.35,-1.49,724.97,,,08-25
45,603223,恒通股份,0.22,,,6.39,,1988.87,,,08-25
46,300469,信息发展,-0.28,,,-11.92,-2.15,-1395.86,,,08-25
47,300478,杭州高新,0.37,,,8.76,0.21,1837.85,,,08-25
48,300415,伊之密,0.48,,,13.26,0.43,4325.29,,,08-25
49,300441,鲍斯股份,0.38,,,10.57,0.52,2422.9,,,08-25
50,603085,天成自控,0.2,,,7.74,,1504.02,,,08-25
51,002751,易尚展示,0.33,,,7.36,,1715.05,,,08-24
52,002769,普路通,0.73,,,11.85,,4045.7,,,08-24
53,002771,真视通,0.42,,,10.34,,2539.41,,,08-24
54,603012,创力集团,0.37,,,7.72,,8885.01,,,08-24
55,002760,凤形股份,0.32,,,5.73,,2111.08,,,08-24
56,002753,永东股份,0.45,,,7.17,,3348.33,,,08-24
57,002768,国恩股份,0.48,,,10.63,,2900.76,,,08-24
58,002758,华通医药,0.43,,,7.22,,1793.99,,,08-24
59,603918,金桥信息,0.07,,,1.96,,456.02,,,08-22
60,300480,光力科技,0.24,,,6.02,0.15,1624.63,,,08-22
61,300487,蓝晓科技,0.44,,,7.5,-0.35,2617.83,,,08-22
62,603117,万林股份,0.16,,,6.14,,5475.11,,,08-22
63,300439,美康生物,0.66,,,17.28,0.31,5600.03,,,08-21
64,300488,恒锋工具,0.58,,,9.67,0.84,2880.97,,,08-21
65,603616,韩建河山,0.38,,,10.43,,4157.87,,,08-21
66,300432,富临精工,0.73,,,21.95,0.39,6590.33,,,08-20
67,603979,金诚信,0.5,,,8.67,,14067.29,,,08-20
68,300476,胜宏科技,0.51,,,10.07,0.73,5640.05,,,08-20
69,603566,普莱柯,0.44,,,8.83,,5297.41,,,08-20
70,300464,星徽精密,0.21,,,5.32,0.21,1302.44,,,08-20
71,002766,索菱股份,0.24,,,6.02,,3231.59,,,08-20
72,300423,鲁亿通,0.31,,,11.14,-0.33,2029.77,,,08-20
73,002775,文科园林,0.37,,,7.02,,3324.66,,,08-20
74,300404,博济医药,0.23,,,5.69,-0.22,1154.2,,,08-20
75,300489,中飞股份,0.72,,,11.25,0.26,2436.06,,,08-20
76,603818,曲美家居,0.18,,,6.0,,3319.57,,,08-20
77,300457,赢合科技,0.45,,,12.34,0.06,2658.8,,,08-20
78,603669,灵康药业,0.37,,,18.44,,7129.57,,,08-20
79,603899,晨光文具,0.45,,,16.94,,18068.61,,,08-19
80,603268,松发股份,0.34,,,9.0,,2258.2,,,08-19
81,603969,银龙股份,0.49,,,10.73,,7297.56,,,08-19
82,603198,迎驾贡酒,0.36,,,11.34,,25811.48,,,08-19
83,300479,神思电子,0.26,,,9.42,-0.11,1553.35,,,08-19
84,300431,暴风集团,0.25,,,8.93,0.32,2288.8,,,08-18
85,300483,沃施股份,0.36,,,7.43,0.11,1633.5,,,08-18
86,603703,盛洋科技,0.25,,,7.61,,1706.82,,,08-18
87,300436,广生堂,0.74,,,36.78,0.85,4135.76,,,08-18
88,300463,迈克生物,0.81,,,18.26,0.35,12018.48,,,08-18
89,300475,聚隆科技,0.54,,,16.88,0.27,8072.98,,,08-18
90,300388,国祯环保,0.42,,,5.67,0.69,2799.12,7.47,,08-18
91,300455,康拓红外,0.14,,,4.93,-0.38,1459.67,,,08-17
92,002757,南兴装备,0.37,,,10.25,,3066.45,,,08-17
