opDate,Unnamed: 0,rzmre,rzye,rqmcl,rqyl,rqye,rzrqye
2013-07-19,0,5646887328,76890872377,179554374,322695215,1300428296,78191300673
2013-07-22,0,4509479798,77802842313,153424401,356494672,1367007577,79169849890
2013-07-23,0,6214358365,78233750263,176723586,348926680,1414041081,79647791344
2013-07-24,0,6735710689,79141374574,123252803,343270262,1381973778,80523348352
2013-07-25,0,6102129203,79217763077,169512283,352109354,1436569916,80654332993
2013-07-26,0,4353128328,79040342685,135696755,349824102,1387136276,80427478961
2013-07-29,0,4483940057,79412718503,126727463,358319182,1398057397,80810775900
2013-07-30,0,4277402125,79290326705,175925109,374229350,1436572612,80726899317
2013-07-31,0,3966250717,78993648353,129021094,389883711,1482704141,80476352494
2013-08-01,0,5756509612,79382002916,143449453,386451204,1461406004,80843408920
2013-08-02,0,5257125227,79181634222,104562701,341770044,1436900311,80618534533
2013-08-05,0,5014914495,79889333313,130775992,364225812,1521573205,81410906518
2013-08-06,0,6229687781,80430657888,154798109,388937207,1529813189,81960471077
2013-08-07,0,6357799870,80421320602,121002149,384711116,1548419286,81969739888
2013-08-08,0,5051367849,81039747913,115405055,390396066,1555416075,82595163988
2013-08-09,0,5347679998,81111415284,97974185,370311086,1523859327,82635274611
2013-08-12,0,7004127474,81341617792,160684919,397798572,1610097236,82951715028
2013-08-13,0,5950329784,82050442160,83195954,381074177,1573622790,83624064950
2013-08-14,0,6220681012,82513441277,129769908,401214785,1598811194,84112252471
2013-08-15,0,5137131117,82812920164,86524865,371022176,1504242307,84317162471
2013-08-16,0,7190031770,82709091315,184142480,340384603,1351525214,84060616529
2013-08-19,0,5249432078,82998984799,140207894,314047417,1398939767,84397924566
2013-08-20,0,5118372392,83215031103,126767255,316262538,1396468180,84611499283
2013-08-21,0,4360328707,83553324470,108687096,310051360,1389431681,84942756151
2013-08-22,0,4691531150,83725300129,95087934,314990164,1413962983,85139263112
2013-08-23,0,6021585674,83613937617,123901139,298190468,1342984270,84956921887
2013-08-26,0,6382021457,84418698866,141898132,337706481,1412791606,85831490472
2013-08-27,0,5504166144,85146039268,81530194,323208355,1388692299,86534731567
2013-08-28,0,6695706809,85670693846,159195780,345077729,1393574527,87064268373
2013-08-29,0,5043307456,86175390968,114613871,333779634,1351862841,87527253809
2013-08-30,0,6335514912,85748691723,133603823,332864369,1327609529,87076301252
2013-09-02,0,5636492032,86257440089,136768501,346694861,1385404796,87642844885
2013-09-03,0,5841468478,86469002886,153159759,362607392,1433999217,87903002103
2013-09-04,0,5736522359,86572248531,93894710,366959016,1443069619,88015318150
2013-09-05,0,5961922117,87173576347,69353711,359579833,1419857061,88593433408
2013-09-06,0,5353744416,87169602831,71246562,342099742,1401277366,88570880197
2013-09-09,0,8651548662,87939517311,151408225,358143563,1446703613,89386220924
2013-09-10,0,8910777764,88811924639,144474017,324078154,1412100506,90224025145
2013-09-11,0,9692985610,89211017795,162441589,319912884,1396509143,90607526938
2013-09-12,0,7694054824,89996527295,137086035,320462695,1389296638,91385823933
2013-09-13,0,6414581289,90102560997,88081596,288251344,1364529532,91467090529
2013-09-16,0,7590805047,91428333120,120523018,316856906,1353959596,92782292716
2013-09-17,0,7293416848,92343420925,96666985,247740961,1261998070,93605418995
2013-09-18,0,5543515702,92127370440,84742868,243478160,1217383990,93344754430
2013-09-23,0,7700224910,93600017357,151542039,289261270,1339334910,94939352267
2013-09-24,0,8936307687,95080067354,113603011,292673658,1301561241,96381628595
2013-09-25,0,8727706165,96197535045,143817653,307700178,1308311477,97505846522
2013-09-26,0,7739204952,96757466358,108446548,247367042,1182616016,97940082374
2013-09-27,0,6206896658,96485701932,81533506,216200267,1149107486,97634809418
2013-09-30,0,5975859610,95705401400,48128218,196304717,1100641339,96806042739
2013-10-08,0,9324783934,97834223068,167218099,266638826,1273132866,99107355934
2013-10-09,0,8301627959,99389769342,79575201,255296348,1253461484,100643230826
2013-10-10,0,9472849061,100838277209,143668424,268236208,1282002450,102120279659
2013-10-11,0,8963686482,101570392394,116839802,252054223,1278301332,102848693726
2013-10-14,0,9548475267,102832589600,94139363,260797079,1314073001,104146662601
2013-10-15,0,9197636676,103862850768,102879420,248857077,1262677800,105125528568
2013-10-16,0,8508459310,104209428015,117898291,225049789,1218008586,105427436601
2013-10-17,0,7444609181,104094599532,117216431,233328475,1237329969,105331929501
2013-10-18,0,6418431052,104170446735,102376635,234563103,1248659146,105419105881
2013-10-21,0,9125567576,105396348912,148161202,258096966,1323984396,106720333308
2013-10-22,0,10288969057,105722213848,115799983,237539617,1265647278,106987861126
2013-10-23,0,9004429874,105781681744,204174432,295960436,1299034692,107080716436
2013-10-24,0,5873188271,106058139231,114811728,235939751,1233241402,107291380633
2013-10-25,0,6953663790,105784880121,131899312,196617412,1114996559,106899876680
2013-10-28,0,5515968931,105661629431,120735546,205553261,1119217843,106780847274
2013-10-29,0,7825222585,104862238545,181125715,209358401,1147599964,106009838509
2013-10-30,0,6191712619,105136676010,142417485,233161321,1233736484,106370412494
2013-10-31,0,5773320513,105219517428,120619756,235760535,1219917023,106439434451
2013-11-01,0,4522990211,104366022209,100515382,224292052,1211202509,105577224718
2013-11-04,0,4456605044,104563530196,84027753,235762328,1226353723,105789883919
2013-11-05,0,5547967064,104899300930,128073060,244144628,1227642534,106126943464
2013-11-06,0,5984357470,104986678608,145157261,264552617,1201444625,106188123233
2013-11-07,0,4905832429,104960990717,129640305,248648427,1163285268,106124275985
2013-11-08,0,4450267012,104624498906,132012898,243300724,1137302458,105761801364
2013-11-11,0,3961488137,104599091137,148463770,258239783,1209067395,105808158532
2013-11-12,0,4494044827,104374065038,151592694,267807023,1269142049,105643207087
2013-11-13,0,4425751960,103954825531,155297523,292808924,1252529296,105207354827
2013-11-14,0,4959778032,103897276579,138538907,253151004,1251442301,105148718880
2013-11-15,0,7218782563,103917975768,148497382,254078835,1217549751,105135525519
2013-11-18,0,8148170503,104538386226,180698073,278296863,1281782631,105820168857
2013-11-19,0,7275231392,105253593734,116546184,278609301,1290263192,106543856926
2013-11-20,0,6558755962,106087273421,87718378,263706932,1305775433,107393048854
2013-11-21,0,7923859609,106899806663,111196507,259571017,1273739359,108173546022
2013-11-22,0,6396685965,106834887807,90837482,240091674,1255453788,108090341595
2013-11-25,0,6204626754,107552152644,131630200,285213608,1305895103,108858047747
2013-11-26,0,5866491843,108101302559,80657769,231922600,1259305311,109360607870
2013-11-27,0,7892170066,108692060976,119828588,244482925,1259393391,109951454367
2013-11-28,0,8615532717,109075735483,159084165,271358235,1286305870,110362041353
2013-11-29,0,7428000039,109122780731,61050924,212001746,1230136924,110352917655
2013-12-02,0,10142057003,109056728460,180800591,256835328,1228199967,110284928427
2013-12-03,0,6520492020,109290544355,148604847,251116378,1299984342,110590528697
2013-12-04,0,8373810515,109631851835,151914615,282828407,1373522515,111005374350
2013-12-05,0,7213238970,109926434622,85137015,255038512,1316872113,111243306735
2013-12-06,0,6240539856,109948679907,66223473,228933028,1273403764,111222083671
2013-12-09,0,6546339489,110759190047,88466784,243965311,1287738664,112046928711
2013-12-10,0,6647166227,111345274365,130911120,273264590,1297537290,112642811655
2013-12-11,0,6043913331,111492453115,76588396,213571456,1199937534,112692390649
2013-12-12,0,5799900378,111937430556,90897525,227414979,1227162480,113164593036
2013-12-13,0,5220758720,111840127972,78399078,224388225,1172186697,113012314669
2013-12-16,0,6070913915,111963376295,94397223,224581489,1129512305,113092888600
2013-12-17,0,4937862080,112372299375,110812571,258670762,1159358888,113531658263
2013-12-18,0,4359318314,112391488844,90505621,226326003,1144735020,113536223864
2013-12-19,0,4918980901,112642522114,86290837,216120924,1111889346,113754411460
2013-12-20,0,4674084066,112576999415,108998701,217944774,1035595339,113612594754
2013-12-23,0,4321763745,112607483627,87966302,191343688,1024918935,113632402562
2013-12-24,0,4702808267,112901535143,120680093,214472828,1078102137,113979637280
2013-12-25,0,5055376006,113599276616,91063321,205178188,1088008027,114687284643
2013-12-26,0,5753362290,114226332960,130772672,231988384,1086356127,115312689087
2013-12-27,0,5383625087,114248007896,139638577,227390973,1100931431,115348939327
2013-12-30,0,6065625465,115481481588,66144194,190200274,1042044684,116523526272
2013-12-31,0,5575720624,115491348382,144110355,224480452,1115029877,116606378259
2014-01-02,0,6186930404,116098519468,77237844,201621568,1074252669,117172772137
2014-01-03,0,6661531106,115981385912,65587202,192849850,1058100295,117039486207
2014-01-06,0,6108909995,116407848924,89056337,184070370,1063119637,117470968561
2014-01-07,0,5072496788,116999398760,68741545,184880964,1085256420,118084655180
2014-01-08,0,7189370956,117577564832,103822313,204823807,1142752205,118720317037
2014-01-09,0,7671101895,118033548830,155373314,236462384,1143927355,119177476185
2014-01-10,0,5533141953,118283934583,102515325,179389250,1032734206,119316668789
2014-01-13,0,5039179023,118268115191,120611819,191014836,1059510565,119327625756
2014-01-14,0,5685888294,118531153414,114265606,193710325,1092400422,119623553836
2014-01-15,0,5747191790,118769845710,83137199,206820052,1134639027,119904484737
2014-01-16,0,5843328386,119012776963,91952561,195281888,1123940064,120136717027
2014-01-17,0,5664614712,119334437800,82592107,189469787,1017359788,120351797588
2014-01-20,0,5210375287,119787905416,87480843,186088064,986907634,120774813050
2014-01-21,0,6142686877,120137128712,75167940,181607498,985368930,121122497642
2014-01-22,0,8616028369,120500016341,136690373,195336853,1024227238,121524243579
2014-01-23,0,8902240777,121140756328,143343171,257914383,1060126180,122200882508
2014-01-24,0,8995284717,121213812624,128326820,223488692,1029533404,122243346028
2014-01-27,0,9497700275,121879708837,114283082,205938426,975807669,122855516506
2014-01-28,0,7086046341,121958918427,94101741,171338364,946928720,122905847147
2014-01-29,0,7297243101,121453515825,65758301,175027776,913093909,122366609734
2014-01-30,0,6235793741,119293796172,39800609,140610859,826943536,120120739708
2014-02-07,0,8299119920,121492862105,109354274,183612836,968990967,122461853072
2014-02-10,0,12285135501,123683414094,148274537,229034271,1040094430,124723508524
2014-02-11,0,13504503311,126089509278,157467063,262455369,1052163889,127141673167
2014-02-12,0,10830429225,127778649968,90153677,264972114,1080941258,128859591226
2014-02-13,0,12112911009,129043098043,144813706,299689377,1082165251,130125263294
2014-02-14,0,8433086184,129064195108,84583392,267871388,1087396806,130151591914
2014-02-17,0,11733437266,130763434575,140405762,269502316,1130397610,131893832185
2014-02-18,0,11885801473,132564178922,180988848,287577914,1125231062,133689409984
2014-02-19,0,11188319569,133479632626,180395166,310901094,1175471771,134655104397
2014-02-20,0,10870380122,134302624574,181881652,314370790,1147789110,135450413684
2014-02-21,0,7939942137,134211467314,104777528,228240317,1043791123,135255258437
2014-02-24,0,9342781426,135112215913,161490062,202465382,982857528,136095073441
2014-02-25,0,11445235276,134552028367,156194354,179378291,915513985,135467542352
2014-02-26,0,8080390067,134337867051,156064700,178204890,903647007,135241514058
2014-02-27,0,9550317478,133836437720,151805227,193343201,947769242,134784206962
2014-02-28,0,7143021269,133000754390,173240638,211916506,972451074,133973205464
2014-03-03,0,7656299094,133291795071,127438940,235581930,1030030936,134321826007
2014-03-04,0,7909021682,133965321608,156310455,260325405,1027792955,134993114563
2014-03-05,0,7474754048,134516959625,153991321,243279962,1041012803,135557972428
2014-03-06,0,7516807984,134721363189,156518646,231114504,1036205414,135757568603
2014-03-07,0,7248556165,133932830874,122851674,247155371,1063205875,134996036749
2014-03-10,0,7180649471,133288015533,169828007,260996888,1016380843,134304396376
2014-03-11,0,5589980928,132752990778,215491341,255574153,1069149681,133822140459
2014-03-12,0,6716508212,131929800058,224718677,297425292,1124373854,133054173912
2014-03-13,0,5745231872,131694749107,190379982,325942602,1207806318,132902555425
2014-03-14,0,5374764793,131263686372,118797340,322342897,1176438641,132440125013
2014-03-17,0,6249357558,131453468039,113493086,343302192,1235208907,132688676946
2014-03-18,0,7096260882,132072359605,104026377,367049698,1251376072,133323735677
2014-03-19,0,6827086333,132753825164,95654090,312445572,1174282213,133928107377
2014-03-20,0,7219817924,132937562110,169760877,321342324,1164110380,134101672490
2014-03-21,0,8008018711,133114506226,181015824,237677808,971871568,134086377794
2014-03-24,0,7948086882,133546362047,169842637,244396348,1020324375,134566686422
2014-03-25,0,7125330842,134110825920,163354256,264868220,1029099678,135139925598
2014-03-26,0,6158261226,134477255344,84285435,247012821,1039102876,135516358220
2014-03-27,0,6938487874,134592397119,131951514,243787663,1029003305,135621400424
2014-03-28,0,6606989111,133999279906,159297456,234626322,969704793,134968984699
2014-03-31,0,4618715517,133734521787,100407703,228180121,985226831,134719748618
2014-04-01,0,4577911116,133390670334,124636959,262520951,1042988390,134433658724
2014-04-02,0,5766793833,133063941990,158103194,283162775,1112260465,134176202455
2014-04-03,0,5755484640,133266368132,129037928,271821584,1096118712,134362486844
2014-04-04,0,5244207881,132678299281,84568006,266560569,1095067920,133773367201
2014-04-08,0,7172488244,132832828796,163546654,247821763,1119306715,133952135511
2014-04-09,0,7179173806,133258482601,102100265,255836046,1141455100,134399937701
2014-04-10,0,9721965982,134157615960,160691382,271171057,1177767503,135335383463
2014-04-11,0,7682016877,134427843354,114487245,274540102,1190500159,135618343513
2014-04-14,0,6733850992,135011278285,106894758,276567767,1200534770,136211813055
2014-04-15,0,7261566971,135400244985,108258900,266191053,1134328933,136534573918
2014-04-16,0,5624550997,135732364471,139721537,265786417,1144112306,136876476777
2014-04-17,0,5861805002,136136680454,115551331,257334362,1110772034,137247452488
2014-04-18,0,4948413204,135570980904,142758958,253359112,1071888428,136642869332
2014-04-21,0,6377622122,135292011116,131998473,246956681,1045036641,136337047757
2014-04-22,0,6197465066,135486243127,158156189,249861118,1055835797,136542078924
2014-04-23,0,4943074933,135294175728,128211400,261007416,1075230690,136369406418
2014-04-24,0,5136860178,135275532849,180459037,243968970,1066785475,136342318324
2014-04-25,0,5154826661,134406598384,122099699,219918244,1013876499,135420474883
2014-04-28,0,5345715474,133801873694,134167644,199195041,967639455,134769513149
2014-04-29,0,4038666972,133078486817,117434492,204754763,996146109,134074632926
2014-04-30,0,3354883748,131777501297,85448605,200215199,992298412,132769799709
2014-05-05,0,4242917102,132144419353,137345399,212464820,1040644207,133185063560
2014-05-06,0,5209048970,132556981545,135869421,218177732,1065537912,133622519457
2014-05-07,0,4395146429,132324345893,126907243,242777528,1069801213,133394147106
2014-05-08,0,4709314220,132360616064,125619544,244405926,1075643580,133436259644
2014-05-09,0,4360540111,132010438866,137488099,227940628,1054300715,133064739581
2014-05-12,0,6852276820,132405875755,171586979,254496938,1126213064,133532088819
2014-05-13,0,5632371472,132650109536,114169492,255315061,1139520839,133789630375
2014-05-14,0,4261432959,132568689405,117127909,267938710,1157814565,133726503970
2014-05-15,0,4658832444,132375602143,101648479,248092121,1115878535,133491480678
2014-05-16,0,3932660093,131855897962,127070249,262493223,1129708911,132985606873
2014-05-19,0,3910163399,131564116814,87946720,242026592,1077349574,132641466388
2014-05-20,0,4146618248,131225946557,81932309,232777480,1068728335,132294674892
2014-05-21,0,4189820434,131425531346,86253647,222906020,1075045093,132500576439
2014-05-22,0,5267616850,131151919689,116013876,243157651,1102100256,132254019945
2014-05-23,0,4934800746,130608288131,110891481,226860151,1078785628,131687073759
2014-05-26,0,6789314445,130924185168,123558308,252080661,1124346645,132048531813
2014-05-27,0,5545951695,130855393558,112279862,276827408,1146483842,132001877400
2014-05-28,0,7447429512,131188336481,174157350,304326523,1179940990,132368277471
2014-05-29,0,7191625222,131519772934,135087554,247588306,1122651594,132642424528
2014-05-30,0,6496001132,131185022857,109460775,245002978,1108008383,132293031240
2014-06-03,0,6321806884,131331394313,89238519,248136871,1137059983,132468454296
2014-06-04,0,6020879826,131973265674,104263156,248676762,1100665089,133073930763
2014-06-05,0,5877935372,131978587266,91724672,267658697,1134439831,133113027097
2014-06-06,0,6206517925,131997487341,70188691,246089347,1097655164,133095142505
2014-06-09,0,6088547697,132433746205,130652812,255654443,1125568617,133559314822
2014-06-10,0,7245413081,132665627006,148772958,292463510,1197410234,133863037240
2014-06-11,0,7225228382,132749429540,146137557,304388212,1223682335,133973111875
2014-06-12,0,6896910949,133166994651,89134697,293803990,1225110922,134392105573
2014-06-13,0,8201708068,133262832272,128378528,296743952,1222813706,134485645978
2014-06-16,0,8964080087,134393068952,116462706,307018945,1277084362,135670153314
2014-06-17,0,8660445341,136299717016,146807753,294557016,1201539381,137501256397
2014-06-18,0,8205915553,137891876951,192074464,270281534,1150559712,139042436663
2014-06-19,0,8237475729,138334689643,111803012,207878564,1010792411,139345482054
2014-06-20,0,5561681024,138219049841,90966317,201147406,1007739279,139226789120
2014-06-23,0,5997731871,138216533467,155652664,218343859,1062524752,139279058219
2014-06-24,0,6237284859,138153448439,150655892,231755144,1103211566,139256660005
2014-06-25,0,6176755759,138654302742,156205066,225313308,1096243772,139750546514
2014-06-26,0,7726380809,138775464865,115057866,248002252,1101034269,139876499134
2014-06-27,0,8394341466,138582906260,117355698,237339521,1074805098,139657711358
2014-06-30,0,9355325114,139675360518,174366071,263711812,1133248305,140808608823
2014-07-01,0,9543534714,140301846226,110867708,269725600,1119316381,141421162607
2014-07-02,0,9523569906,141214732779,198266807,302698763,1146852290,142361585069
2014-07-03,0,10888132802,142431849206,240041598,307324607,1178304375,143610153581
2014-07-04,0,9990288764,143036468752,144420011,295096574,1149594805,144186063557
2014-07-07,0,10082135244,144732310202,197555620,294835391,1164342730,145896652932
2014-07-08,0,10280355447,146058741454,173199190,298056168,1173817561,147232559015
2014-07-09,0,11256492049,146858751178,133057290,271078134,1115310851,147974062029
2014-07-10,0,9671896576,147918438249,142060185,264198296,1106517378,149024955627
2014-07-11,0,9086575841,148434713823,112566092,245386717,1099447305,149534161128
2014-07-14,0,11352731283,149705817334,193860759,249991034,1100989778,150806807112
2014-07-15,0,11128919228,150398955359,221531826,271010306,1149593656,151548549015
2014-07-16,0,9576239699,151107413961,149483130,268347967,1180895088,152288309049
2014-07-17,0,7511188507,151453736609,124124114,264750312,1147108624,152600845233
2014-07-18,0,7389383370,150656631387,162606318,269313555,1186869113,151843500500
2014-07-21,0,7627013884,151122355870,140226373,283996067,1201726716,152324082586
2014-07-22,0,9607476528,151433243819,246962277,340443406,1279172339,152712416158
2014-07-23,0,10718692223,152861324301,250529581,316453504,1237764367,154099088668
2014-07-24,0,12019984434,153504405640,241870828,312198588,1261619597,154766025237
2014-07-25,0,10490987981,153400798150,202168875,320100247,1303921447,154704719597
2014-07-28,0,14856621970,152256189541,285211467,407027451,1499143179,153755332720
2014-07-29,0,15019480387,152833431488,236272484,442766017,1567598445,154401029933
2014-07-30,0,14150818664,154590068304,215434361,446757769,1591042130,156181110434
2014-07-31,0,13803857773,156553677865,210603987,466995952,1631115901,158184793766
2014-08-01,0,13972960532,156453118772,191597082,453875292,1601948793,158055067565
2014-08-04,0,12928829401,157788137497,211735811,484563400,1706992424,159495129921
2014-08-05,0,15054580464,159016516470,168441321,485149638,1692680249,160709196719
2014-08-06,0,14936898893,160502620399,204993796,465110045,1631808491,162134428890
2014-08-07,0,14176843064,161586436400,175790858,415409175,1520801547,163107237947
2014-08-08,0,11536925743,161773588797,139121493,387694254,1470083027,163243671824
2014-08-11,0,13302118470,162852733564,203306995,422439888,1596942406,164449675970
2014-08-12,0,14514746240,164974841167,144979980,411737476,1551015900,166525857067
2014-08-13,0,15741495340,167461113601,240788437,412186429,1565459972,169026573573
2014-08-14,0,14596155139,169134129287,168002928,407536641,1513634094,170647763381
2014-08-15,0,13672194354,169486106208,226489824,445050627,1572690419,171058796627
2014-08-18,0,16689123260,171787204800,168231021,438900634,1588702350,173375907150
2014-08-19,0,18320059671,172847992920,182014235,452462286,1619974688,174467967608
2014-08-20,0,16411051741,174787344145,181494836,462733489,1633109695,176420453840
2014-08-21,0,16340018547,176790093199,169538019,429681365,1586285318,178376378517
2014-08-22,0,15309048202,177595643285,175002277,421923701,1575603853,179171247138
2014-08-25,0,15622385752,179750871827,182164554,407562414,1529420073,181280291900
2014-08-26,0,15185454933,181687145410,214768868,392328324,1451348148,183138493558
2014-08-27,0,12104512169,183263199094,231029323,383104552,1389626303,184652825397
2014-08-28,0,12610666124,186179508950,231813936,338078850,1291279446,187470788396
2014-08-29,0,9827926694,187066201291,111888671,232062562,1274282107,188340483398
2014-09-01,0,13977770282,189148341022,187673739,238672157,1321860139,190470201161
2014-09-02,0,17264400270,188988952878,165024299,260735699,1433345687,190422298565
2014-09-03,0,18933623110,189182008296,204244224,278562289,1528541918,190710550214
2014-09-04,0,19599953843,191599924958,155221797,284997149,1571388551,193171313509
2014-09-05,0,19640827736,192230401519,180145500,290891800,1592383729,193822785248
2014-09-09,0,19112781349,194952306356,198947757,294226717,1608174042,196560480398
2014-09-10,0,18128204651,197804122291,187249541,288948672,1596092247,199400214538
2014-09-11,0,22874034263,200627702338,208754236,284080530,1581467642,202209169980
2014-09-12,0,16344150919,201790280729,234936228,278809602,1554256128,203344536857
2014-09-15,0,20366110750,205422474650,223888251,280449475,1570580292,206993054942
2014-09-16,0,23540331174,206778495582,226005533,266112722,1476789752,208255285334
2014-09-17,0,15957228262,208199324898,158615872,267718725,1516400393,209715725291
2014-09-18,0,14248555754,209395171107,166779283,279241124,1556774977,210951946084
2014-09-19,0,13817407150,209664826746,106434562,277120723,1538033117,211202859863
2014-09-22,0,17125294379,213381690141,111081677,244843533,1414659491,214796349632
2014-09-23,0,16211241348,216433330722,172176897,264453479,1487059958,217920390680
2014-09-24,0,22662607837,221650790476,201095042,264880850,1473263454,223124053930
2014-09-25,0,24352569715,225681032296,155541367,248161619,1410691750,227091724046
2014-09-26,0,18470982053,227206882365,143645440,246489900,1390607533,228597489898
2014-09-29,0,19185419168,226368010070,134641727,247355333,1411802865,227779812935
2014-09-30,0,16812119186,221183132346,91187362,230314939,1318105923,222501238269
2014-10-08,0,24801851916,228208036824,181038568,275818527,1540895789,229748932613
2014-10-09,0,26982269155,232733934061,160306738,284452743,1588835014,234322769075
2014-10-10,0,23571897590,235240705935,182999272,288162722,1600021913,236840727848
2014-10-13,0,21202583287,238718075412,196221256,277839694,1580212717,240298288129
2014-10-14,0,20909159330,241097505816,194682992,283529755,1619385808,242716891624
2014-10-15,0,21055176792,243708517436,217288843,285107520,1636057649,245344575085
2014-10-16,0,21055221732,244007042999,208607520,293314966,1644464491,245651507490
2014-10-17,0,18757948350,243931556370,178042461,273096401,1555945854,245487502224
2014-10-20,0,15458021594,245220110697,232678904,292967702,1662995442,246883106139
2014-10-21,0,15982971644,246365692928,113356760,271358582,1579397419,247945090347
2014-10-22,0,15329574777,247833277989,159191250,264116781,1489942521,249323220510
2014-10-23,0,16045968146,250370954468,201829828,228363057,1329591072,251700545540
2014-10-24,0,12568279885,251332983613,128737306,208456779,1267486313,252600469926
2014-10-27,0,12885339079,252916459729,183860123,199560607,1248420527,254164880256
2014-10-28,0,16557603324,251306469383,215771487,219134227,1383416639,252689886022
2014-10-29,0,23970392094,251830402363,240339363,245239853,1504530459,253334932822
2014-10-30,0,22137209086,253395341460,228130385,273199527,1606838649,255002180109
2014-10-31,0,22500570555,253259536186,263297877,290873662,1645781655,254905317841
2014-11-03,0,21355091937,255658025353,266343384,306994386,1718135827,257376161180
2014-11-04,0,22491184008,258290310680,215364486,318231708,1756780883,260047091563
2014-11-05,0,20987436212,260594884943,219635509,318264173,1790499789,262385384732
2014-11-06,0,18383625835,261977486810,172237176,309588787,1762640409,263740127219
2014-11-07,0,25019734450,262233726193,252284263,311570794,1757450550,263991176743
2014-11-10,0,22310332417,263599380069,270261491,332709404,1852427880,265451807949
2014-11-11,0,28073319217,264328693624,258814994,317109053,1763847091,266092540715
2014-11-12,0,17142506870,264919682375,237642773,332211216,1859825486,266779507861
2014-11-13,0,22517557164,265676217340,264024902,345717609,1857395270,267533612610
2014-11-14,0,16068029189,266181873622,199022944,323722085,1775241387,267957115009
2014-11-17,0,17043638187,267342627179,225378604,323541778,1812735062,269155362241
2014-11-18,0,14862522482,268351515901,178058197,305743985,1755251272,270106767173
2014-11-19,0,17096805905,269405793692,191242443,310211366,1771528058,271177321750
2014-11-20,0,15319797385,270730793831,140775754,315594325,1775076736,272505870567
2014-11-21,0,19657481810,271672855406,223698056,311658669,1716778801,273389634207
2014-11-24,0,34954091461,278405738436,336917391,309052554,1746093244,280151831680
2014-11-25,0,32469707549,283420919136,267335640,304100740,1761501506,285182420642
2014-11-26,0,33420588560,287575797759,252625282,318937690,1826268166,289402065925
2014-11-27,0,33734596483,288079438888,269690700,334266100,1914063295,289993502183
2014-11-28,0,37849678582,289934216371,299036412,351175932,1987144178,291921360549
2014-12-01,0,35872122585,293170546376,286926186,359653226,2059722118,295230268494
2014-12-02,0,34348297767,294527445532,275500849,354486894,2133764989,296661210521
2014-12-03,0,50318919860,297569545429,309540337,346409206,2111661061,299681206490
2014-12-04,0,51221931387,304103426914,312031713,352794198,2248152394,306351579308
2014-12-05,0,54407472156,305619301293,287757854,328168122,2109259405,307728560698
2014-12-08,0,50853489641,312025936835,366153701,353930718,2293215519,314319152354
2014-12-09,0,60506193793,314472401276,337941775,319951130,1984107319,316456508595
2014-12-10,0,39157124060,314842016854,303101831,317447074,2072611552,316914628406
2014-12-11,0,37899510038,317130122385,232298472,324283089,2127206495,319257328880
2014-12-12,0,32936080725,317342860758,230269902,315045383,2099936678,319442797436
2014-12-15,0,35588227437,320561784841,229232481,314968913,2111951458,322673736299
2014-12-16,0,38453978168,323932822626,343519347,325775821,2198618522,326131441148
2014-12-17,0,43066419642,328402340960,279891170,323405493,2143780566,330546121526
2014-12-18,0,34059840272,330563940557,316837289,315656041,2008214912,332572155469
2014-12-19,0,35368656188,332887991493,340102717,299311484,1872487066,334760478559
2014-12-22,0,36497842145,333117999016,301243510,310883725,1891669889,335009668905
2014-12-23,0,24242924569,330834683231,276853395,294083664,1833442059,332668125290
2014-12-24,0,21361323013,328550084368,223066427,266501594,1683814097,330233898465
2014-12-25,0,21369685576,327672264887,294727242,294317861,1865345672,329537610559
2014-12-26,0,28614849447,327402063637,255053986,316823652,2020274211,329422337848
2014-12-29,0,34808467204,329726505575,238802841,318269814,2019141043,331745646618
2014-12-30,0,27279943983,329254424765,212808474,317070915,2003342173,331257766938
2014-12-31,0,26844068469,327068013659,206231236,318763061,2069543360,329137557019
2015-01-05,0,38277263968,329575457077,290786402,328745900,2217097425,331792554502
2015-01-06,0,37065808766,330337451354,234959735,336234242,2275278509,332612729863
2015-01-07,0,30805638905,333570682580,204113638,342875246,2340163403,335910845983
2015-01-08,0,28316028226,334537113612,209058725,324338597,2248088027,336785201639
2015-01-09,0,29236879032,334096183516,261141219,300986514,2076584482,336172767998
2015-01-12,0,24331316036,336071465357,234181290,286924013,1985929255,338057394612
2015-01-13,0,22634216323,337225655535,246749378,284409172,1968502622,339194158157
2015-01-14,0,23342662784,341201284890,225359998,275175916,1885368528,343086653418
2015-01-15,0,23670699950,343792509454,250484696,286478745,1960122114,345752631568
2015-01-16,0,29221750218,344702543733,231980680,299066189,2021372924,346723916657
2015-01-19,0,31304297213,340806323416,234662006,246894127,1670336448,342476659864
2015-01-20,0,31398009953,340126356514,336107596,259622924,1781817717,341908174231
2015-01-21,0,38564665690,341025863121,386802664,305343266,2097482947,343123346068
2015-01-22,0,35282495509,344239309794,305167079,324206632,2215205369,346454515163
2015-01-23,0,34841262077,345978090123,248725551,317300913,2122592943,348100683066
2015-01-26,0,31920558738,348777876608,288242119,338834870,2257850624,351035727232
2015-01-27,0,35437544742,350754154067,249811362,318630344,2147278973,352901433040
2015-01-28,0,29225212133,351851747816,244789757,303573505,2053256497,353905004313
2015-01-29,0,24539193611,352732777953,273910756,290243130,1972118240,354704896193
2015-01-30,0,24095669842,351955320963,238686387,276848034,1879167301,353834488264
2015-02-02,0,21344037815,352561010716,213413158,252855955,1756294688,354317305404
